transcript_id,transcript_position,score
ENST00000007264,108,0.7492870905278531
ENST00000007264,223,0.6184182017117279
ENST00000007264,243,0.6079980989533955
ENST00000007264,249,0.311869216464076
ENST00000007264,298,0.17806781001764843
ENST00000007264,370,0.33898179883868407
ENST00000007264,420,0.5393363914205572
ENST00000007264,471,0.2597584895352699
ENST00000007264,496,0.5185423874272181
ENST00000007264,553,0.5263366784793525
ENST00000007264,590,0.3467539422492091
ENST00000007264,651,0.4612623381330615
ENST00000007264,708,0.4108327531443489
ENST00000007264,736,0.6556421567476183
ENST00000007264,787,0.6494564050031305
ENST00000007264,817,0.45734866113147604
ENST00000007264,877,0.48269595705184465
ENST00000007264,916,0.6252992905309867
ENST00000007264,1008,0.3331295767357514
ENST00000007264,1061,0.5210849314376744
ENST00000007264,1066,0.6634129098156688
ENST00000007264,1116,0.7988738421399576
ENST00000007264,1293,0.710466801425046
ENST00000007264,1341,0.5259508001953659
ENST00000007264,1366,0.5096806765674254
ENST00000007264,1413,0.7697899980699928
ENST00000007264,1564,0.4804521848696919
ENST00000007264,1640,0.5971231980454308
ENST00000007264,1923,0.8570524766385582
ENST00000007264,2015,0.669847492604808
ENST00000009041,186,0.40673946182743403
ENST00000009041,244,0.18513839351904368
ENST00000009041,261,0.5566567637592645
ENST00000009041,276,0.6132048188039434
ENST00000009041,416,0.819835767527012
ENST00000009041,441,0.2903152441156254
ENST00000009041,455,0.32539322027584716
ENST00000009041,501,0.4870426288629211
ENST00000009041,531,0.06596186353249175
ENST00000009041,613,0.5070667553196126
ENST00000009041,641,0.37415962974879313
ENST00000009041,653,0.4504094125236355
ENST00000009041,807,0.3827146828923279
ENST00000009041,811,0.36384643463777383
ENST00000009041,928,0.46154025073237465
ENST00000009041,933,0.6732153577224064
ENST00000009041,943,0.3820628433016592
ENST00000009041,955,0.5428827646832275
ENST00000009041,987,0.3877217812493292
ENST00000009041,1086,0.29028028813626
ENST00000009041,1206,0.5391763827820545
ENST00000009041,1224,0.27024105750624927
ENST00000009041,1268,0.7258286456488701
ENST00000009041,1286,0.27801150421321497
ENST00000009041,1381,0.16278758798291795
ENST00000009041,1407,0.2716972091558855
ENST00000013807,66,0.45578706206166136
ENST00000013807,196,0.607786735458641
ENST00000013807,208,0.8024436291348481
ENST00000013807,340,0.6796615236971054
ENST00000013807,366,0.1978656520997897
ENST00000013807,470,0.5096887741930681
ENST00000013807,643,0.4192334105595272
ENST00000013807,679,0.6186660687576184
ENST00000013807,822,0.5608877470326905
ENST00000013807,845,0.5332841614487819
ENST00000013807,853,0.5363467940716394
ENST00000013807,880,0.7412787409959595
ENST00000013807,897,0.490804385182289
ENST00000013807,909,0.2465787912526538
ENST00000013807,937,0.41318359106695884
ENST00000013807,945,0.48759517934864777
ENST00000013807,954,0.23526248386718537
ENST00000013807,974,0.31544592687126577
ENST00000013807,1054,0.6720380410881751
ENST00000013807,1091,0.2090035126895799
ENST00000013807,1103,0.8046510214679198
ENST00000013807,1130,0.5838887514025575
ENST00000013807,1137,0.5608831782277123
ENST00000013807,1142,0.4002841695862343
ENST00000013807,1195,0.4810888949318806
ENST00000013807,1219,0.5484920529531575
ENST00000037243,158,0.750461742125286
ENST00000037243,171,0.5523710267107117
ENST00000037243,263,0.23798481209250272
ENST00000037243,269,0.5058810772084923
ENST00000037243,382,0.5890938670222983
ENST00000037243,403,0.13602272752495376
ENST00000037243,411,0.6273723344613826
ENST00000037243,473,0.5246232131399592
ENST00000037243,518,0.06606467848336794
ENST00000037243,569,0.5338631915488696
ENST00000037243,583,0.4930176695575401
ENST00000037243,602,0.04218261161739067
ENST00000037243,646,0.5777698970349431
ENST00000037243,724,0.5144739143654093
ENST00000037243,886,0.3006443074073211
ENST00000037243,928,0.47726983003071916
ENST00000037243,956,0.5903887602382146
ENST00000037243,976,0.1742969786705069
ENST00000053867,253,0.5096538738634164
ENST00000053867,262,0.722937986347246
ENST00000053867,286,0.16024219527013
ENST00000053867,353,0.5939940990128715
ENST00000053867,395,0.6907033907426965
ENST00000053867,493,0.6943726369157622
ENST00000053867,608,0.18934921600280116
ENST00000053867,659,0.7144153692329631
ENST00000053867,734,0.6033806920600577
ENST00000053867,841,0.7680846101897916
ENST00000053867,845,0.10692689521452511
ENST00000053867,1004,0.732033006907196
ENST00000053867,1016,0.4801112794679964
ENST00000053867,1061,0.5832250447056477
ENST00000053867,1109,0.4063822729506678
ENST00000053867,1205,0.7364999689563453
ENST00000053867,1241,0.22793494575504167
ENST00000053867,1263,0.2832750119702594
ENST00000053867,1322,0.3704699817942577
ENST00000053867,1451,0.6507906608230164
ENST00000053867,1530,0.6829975269020517
ENST00000053867,1577,0.6880330072119276
ENST00000053867,1589,0.4503163997410469
ENST00000053867,1618,0.3592894610797682
ENST00000053867,1827,0.6536532944345326
ENST00000053867,1844,0.10602556996552731
ENST00000053867,1849,0.4442788761390884
ENST00000053867,1862,0.6770104422264328
ENST00000053867,2012,0.739840751063155
ENST00000053867,2025,0.8386403417258741
ENST00000053867,2041,0.6902732862105664
ENST00000053867,2053,0.7061071624283507
ENST00000053867,2070,0.7330740912648663
ENST00000053867,2121,0.29322227398526013
ENST00000053867,2137,0.5794049276187775
ENST00000053867,2258,0.737050704910872
ENST00000054666,75,0.44637770041409625
ENST00000054666,156,0.6962044674677329
ENST00000054666,166,0.4138585276366939
ENST00000054666,194,0.676428131999205
ENST00000054666,215,0.5383622633680117
ENST00000054666,233,0.7278362980772192
ENST00000054666,421,0.7196993247553523
ENST00000054666,430,0.591562319321542
ENST00000054666,437,0.2749010204654677
ENST00000054666,452,0.3534008339498077
ENST00000054666,463,0.4789485606508907
ENST00000054666,470,0.4143613436832479
ENST00000054666,477,0.6474941093233166
ENST00000054666,759,0.6175939234930496
ENST00000054666,771,0.3603167368569786
ENST00000054666,815,0.5057280778672109
ENST00000054666,828,0.16779550286554532
ENST00000054666,844,0.0970938388523178
ENST00000054666,893,0.6821839571708674
ENST00000054666,920,0.31127103803626877
ENST00000054666,1040,0.1626492525396075
ENST00000054666,1065,0.6784946756747148
ENST00000054666,1077,0.2425365121927493
ENST00000054666,1139,0.3551072936384653
ENST00000054666,1169,0.4627339936167515
ENST00000054666,1214,0.6387715069964269
ENST00000054666,1260,0.618184663654155
ENST00000054666,1321,0.5137419059799534
ENST00000054666,1327,0.37277839452052813
ENST00000054666,1378,0.6361878589795362
ENST00000054666,1433,0.6425298232308422
ENST00000054666,1444,0.5826570395709917
ENST00000054666,1478,0.5686243093313168
ENST00000054666,1484,0.14341737565061052
ENST00000054666,1609,0.4184074242583007
ENST00000054666,1670,0.5502765193972292
ENST00000054666,1687,0.5408590529465441
ENST00000054666,1707,0.46990107843512485
ENST00000054666,1759,0.293771652039614
ENST00000054666,1787,0.4705296268664135
ENST00000054666,1793,0.5313545788567835
ENST00000054666,1835,0.4672603386504877
ENST00000054666,1858,0.24578816811514598
ENST00000054666,1892,0.5767726046904487
ENST00000054666,1927,0.18307531305153912
ENST00000054666,2008,0.5482962240336409
ENST00000054666,2049,0.2698052398695447
ENST00000054666,2057,0.5503753787859779
ENST00000054666,2091,0.4394858097188178
ENST00000054666,2100,0.26700374490886086
ENST00000054666,2120,0.1671557452596581
ENST00000054666,2161,0.5894411623520991
ENST00000055077,110,0.6294571887346362
ENST00000055077,116,0.4094487554876107
ENST00000055077,165,0.035164055259838276
ENST00000055077,224,0.7349464243391016
ENST00000055077,298,0.5013998065240535
ENST00000055077,307,0.7249711922763729
ENST00000055077,389,0.18851004145029449
ENST00000055077,491,0.26806202103847265
ENST00000055077,499,0.19870452383488843
ENST00000055077,529,0.5553033889575953
ENST00000055077,550,0.4713296309464528
ENST00000055077,640,0.3389404351267127
ENST00000055077,743,0.5364051069119573
ENST00000055077,761,0.31056769256604855
ENST00000055077,800,0.1670013548703918
ENST00000055077,973,0.40283018485585415
ENST00000055077,999,0.4695177826803674
ENST00000055077,1055,0.416773737497145
ENST00000055077,1102,0.867377069116867
ENST00000055077,1133,0.5666946169713797
ENST00000055077,1142,0.3992142074116789
ENST00000055077,1146,0.5145276448407027
ENST00000055077,1228,0.1899778006511786
ENST00000055077,1240,0.5702586591154786
ENST00000055077,1335,0.5946951312091661
ENST00000055077,1358,0.4940758339224981
ENST00000055077,1455,0.5897662600355305
ENST00000170447,1093,0.17092683415874918
ENST00000170447,1213,0.365855671356092
ENST00000170447,1222,0.4860934064383994
ENST00000170447,1287,0.6629149075640055
ENST00000170447,1430,0.5663533374094187
ENST00000170447,1575,0.2446584525321567
ENST00000170447,1644,0.07943124437131313
ENST00000170447,1651,0.09264013271404996
ENST00000170447,1873,0.3981470644273453
ENST00000170447,1908,0.11486743906640058
ENST00000170447,1912,0.421192092582614
ENST00000170447,2013,0.28341067136430925
ENST00000170447,2147,0.5003381494049738
ENST00000170447,2203,0.7030609867295261
ENST00000170447,2326,0.4257650389283561
ENST00000170447,2400,0.06293617532535677
ENST00000170447,2409,0.6033645326203081
ENST00000175506,176,0.3926561184773572
ENST00000175506,689,0.22881819998700884
ENST00000175506,808,0.636680031676232
ENST00000175506,845,0.2778352582331319
ENST00000175506,865,0.404254709649228
ENST00000175506,957,0.5795230879615827
ENST00000175506,976,0.22562675859625242
ENST00000175506,1077,0.7430959856440097
ENST00000175506,1178,0.3794639362166926
ENST00000175506,1191,0.5893740203782132
ENST00000175506,1216,0.6585602307800154
ENST00000175506,1226,0.42496938791380984
ENST00000175506,1273,0.13010158154833154
ENST00000175506,1277,0.5075257213858019
ENST00000175506,1313,0.4288894404386275
ENST00000175506,1381,0.5506981018329626
ENST00000175506,1403,0.2657588404321066
ENST00000175506,1455,0.39173936373622403
ENST00000175506,1475,0.13708210218213046
ENST00000175506,1525,0.6004544646598506
ENST00000175506,1532,0.08845419714487078
ENST00000175506,1592,0.6150154118705533
ENST00000175506,1635,0.3005541127111387
ENST00000175506,1716,0.49608680387976206
ENST00000175506,1750,0.3504236596448191
ENST00000175506,1773,0.5212351795727188
ENST00000175506,1863,0.1350822481328303
ENST00000175506,1951,0.1698280829984527
ENST00000175506,1998,0.3915509722526696
ENST00000175506,2062,0.4491023802393553
ENST00000175506,2120,0.20658354996687778
ENST00000175506,2165,0.6437019451996566
ENST00000175506,2185,0.30085253283389685
ENST00000175506,2267,0.7357004938635155
ENST00000175506,2286,0.510535498660767
ENST00000175506,2309,0.2441199619937933
